rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.05,916,2487,-336.09939999999995,1995142,802,2156.95,0.037617508322000504,0.0001,486285
0.05,920,2514,-335.48629999999997,2003836,797,2156.3,0.05534619092941284,0.0001,488458
0.05,924,2538,-335.26359999999994,2012527,792,2157.6,0.01998346671462059,0.0001,490631
0.05,928,2563,-334.33029999999997,2021151,788,2157.17,0.029322491958737373,0.0001,492787
0.05,932,2587,-333.27079999999995,2029730,784,2156.47,0.042045027017593384,0.0001,494932
0.05,936,2609,-331.2099,2038189,781,2154.4,0.03805416077375412,0.0001,497047
0.05,940,2628,-330.5064,2046722,778,2154.44,0.053381092846393585,0.0001,499180
0.05,944,2651,-328.49830000000003,2055440,775,2154.25,0.05314846709370613,0.0001,501359
0.05,948,2668,-329.31589999999994,2064262,773,2155.84,0.04120366647839546,0.0001,503565
0.05,952,2689,-329.48440000000005,2072796,770,2155.32,0.03339209407567978,0.0001,505698
0.05,956,2710,-329.92080000000004,2081453,767,2155.47,0.03305912762880325,0.0001,507863
0.05,960,2727,-329.25730000000004,2090093,766,2153.54,0.03157742694020271,0.0001,510023
0.05,964,2749,-330.03450000000004,2098725,763,2154.09,0.05513253062963486,0.0001,512181
0.05,968,2770,-330.3198999999999,2107364,760,2155.25,0.4979967176914215,0.0001,514340
0.05,972,2791,-329.1214,2115896,757,2153.66,0.02659873105585575,0.0001,516473
0.05,976,2813,-329.26689999999996,2124604,755,2155.84,0.04397930949926376,0.0001,518650
0.05,980,2833,-329.17909999999995,2133107,752,2153.65,0.035350650548934937,0.0001,520776
0.05,984,2851,-328.69419999999997,2141761,751,2152.59,0.042840857058763504,0.0001,522940
0.05,988,2871,-328.9,2150408,748,2153.08,0.049731187522411346,0.0001,525101
0.05,992,2889,-328.3682,2158938,747,2151.34,0.055835675448179245,0.0001,527234
0.05,996,2908,-328.4509,2167495,745,2150.64,0.030639052391052246,0.0001,529373
0.05,1000,2924,-329.4992,2176181,744,2151.91,0.03335459902882576,0.0001,531545
0.05,1004,2942,-330.39149999999995,2184818,742,2153.52,0.06449273228645325,0.0001,533704
0.05,1008,2973,-330.37110000000007,2193314,737,2153.93,0.04270712658762932,0.0001,535828
0.05,1012,2995,-329.53700000000003,2201903,735,2152.82,0.04323555901646614,0.0001,537975
0.05,1016,3016,-330.3598,2210723,732,2155.81,0.039330337196588516,0.0001,540180
0.05,1020,3039,-329.98380000000003,2219366,730,2155.3,0.039895594120025635,0.0001,542341
0.05,1024,3065,-330.06260000000003,2227765,726,2152.38,0.040678080171346664,0.0001,544441
0.05,1028,3092,-330.2892,2236359,723,2152.08,0.03560570627450943,0.0001,546589
0.05,1032,3113,-330.789,2244937,720,2152.07,0.022827979177236557,0.0001,548734
0.05,1036,3133,-331.7003000000001,2253727,719,2155.38,0.03870778530836105,0.0001,550931
0.05,1040,3150,-331.7079,2262296,718,2155.74,0.0475698858499527,0.0001,553073
0.05,1044,3170,-332.2725,2270794,716,2153.54,0.02052794210612774,0.0001,555198
